regime,M1 naive,M1 naive_sd,M1 naive_mcse,M2 dCt,M2 dCt_sd,M2 dCt_mcse,M3 partial,M3 partial_sd,M3 partial_mcse,M4 interaction,M4 interaction_sd,M4 interaction_mcse
A,0.5546,0.0674,0.0048,0.1990,0.0246,0.0017,0.2009,0.0250,0.0018,0.2056,0.0263,0.0019
B,0.3750,0.0443,0.0031,0.2993,0.0334,0.0024,0.2654,0.0319,0.0023,0.2710,0.0324,0.0023
C,0.1936,0.0248,0.0018,0.2039,0.0233,0.0016,0.1863,0.0234,0.0017,0.1902,0.0250,0.0018
D,0.1922,0.0215,0.0015,0.4988,0.0545,0.0039,0.1947,0.0225,0.0016,0.1994,0.0237,0.0017
E,0.5593,0.0669,0.0047,0.4941,0.0640,0.0045,0.4114,0.0539,0.0038,0.4222,0.0569,0.0040
