6.242,-3.354,-17.930,-28.170,-34.266,-43.625,-50.377,-56.006,-59.137,-62.819,-66.079,-65.835,-70.257,-71.648,-72.068,-72.954
15.067,3.286,-6.938,-22.791,-32.514,-39.665,-47.623,-50.283,-54.718,-58.739,-62.046,-63.373,-65.332,-66.687,-69.799,-70.143
36.989,16.407,7.585,-11.264,-23.865,-33.349,-36.759,-44.547,-48.680,-54.869,-56.556,-59.858,-60.012,-63.912,-64.571,-64.938
61.844,37.955,21.856,3.006,-11.489,-21.822,-29.216,-35.871,-43.308,-46.899,-52.093,-52.168,-55.431,-58.250,-60.528,-62.999
82.285,57.313,39.443,19.990,1.196,-12.326,-21.383,-27.990,-35.336,-39.461,-41.860,-44.434,-49.209,-50.422,-54.320,-56.715
97.112,74.473,58.405,30.638,15.152,2.580,-13.015,-16.878,-27.184,-27.672,-36.766,-39.961,-43.380,-44.037,-48.733,-49.971
123.403,98.422,69.816,45.266,28.137,9.741,0.903,-12.715,-17.749,-22.091,-27.445,-32.589,-36.353,-37.950,-40.617,-46.363
144.622,129.520,85.748,58.042,42.867,24.922,13.654,-0.395,-11.319,-15.855,-21.529,-24.512,-29.453,-32.519,-35.079,-38.941
160.114,127.341,106.062,75.886,50.594,37.678,15.873,6.990,0.020,-5.730,-13.586,-17.430,-20.087,-24.910,-30.651,-34.422
192.772,144.271,121.889,86.166,62.890,47.575,32.321,23.611,10.738,-1.196,-5.966,-15.995,-17.368,-20.904,-26.127,-29.136
211.867,174.852,133.775,103.425,77.846,60.110,42.401,29.303,13.677,3.184,-0.317,-2.319,-12.164,-14.853,-22.936,-24.519
220.346,199.766,161.129,119.016,86.965,64.738,51.074,34.208,17.005,11.565,11.398,-0.725,-5.138,-6.908,-16.208,-16.291
254.011,215.347,169.105,134.001,107.371,81.999,67.818,43.796,35.080,21.781,17.517,7.755,3.119,-3.888,-11.441,-12.494
275.649,215.541,176.337,149.764,110.417,82.685,66.913,56.782,42.819,25.295,20.662,11.894,-1.472,-2.177,-2.439,-4.567
271.937,246.343,186.903,158.240,113.269,90.148,78.096,62.532,50.600,34.549,21.804,15.220,8.840,3.745,1.199,-7.182
291.368,253.782,218.429,165.721,126.356,109.235,84.267,64.242,46.454,41.453,26.856,25.954,12.430,11.142,2.051,-3.925
