1.747,1.373,1.339,1.581,1.544,1.336,1.175,1.343,0.904,0.864,0.781,0.806,0.639,0.603,0.667,0.659
1.636,2.060,2.123,1.722,1.705,1.565,1.153,1.173,1.044,1.183,0.846,0.860,1.057,0.806,0.761,0.895
2.956,2.474,2.349,1.838,1.459,1.521,1.399,1.379,1.305,1.075,1.057,0.920,0.860,0.787,0.857,0.791
3.507,3.127,2.313,2.274,1.850,2.133,1.763,1.443,1.468,1.101,1.248,0.959,1.201,1.150,1.077,0.759
4.291,3.184,2.985,3.098,2.208,2.695,1.941,2.252,1.579,1.565,1.517,1.318,1.190,1.565,1.120,1.086
3.590,3.645,3.925,2.882,2.783,2.189,2.716,2.552,1.904,1.894,1.604,1.780,1.468,1.585,1.309,1.523
5.212,4.743,3.639,4.520,3.178,2.474,2.718,2.049,2.234,1.597,1.376,1.578,1.402,1.361,1.462,1.170
5.318,5.270,4.759,4.232,3.187,2.773,3.097,2.352,2.050,1.894,1.992,1.794,1.663,2.019,1.503,1.034
7.078,4.502,4.051,4.743,4.267,3.252,3.371,2.418,2.772,2.225,2.308,2.092,1.800,1.614,1.745,1.754
5.691,5.604,4.933,4.578,4.102,4.193,2.939,2.860,2.520,2.728,2.346,2.336,2.220,1.794,1.748,1.815
6.925,5.048,5.721,4.815,4.729,4.203,4.468,2.922,2.604,2.993,2.199,2.847,2.091,2.104,1.557,2.134
8.101,6.450,6.274,4.647,4.400,3.930,3.412,3.214,2.804,2.588,2.597,2.440,1.654,2.294,1.961,2.203
7.522,8.457,7.412,4.995,5.215,3.827,3.492,3.431,3.396,3.046,3.143,2.712,2.352,2.508,2.140,1.864
7.838,8.023,7.466,6.204,4.186,4.360,3.676,3.272,3.411,3.178,3.189,2.752,2.491,2.694,2.352,2.668
9.793,7.700,7.944,7.057,4.965,4.313,4.831,3.707,3.742,3.529,2.685,2.961,2.867,2.667,2.965,2.277
9.477,9.243,8.082,6.576,6.158,5.467,4.267,4.131,3.844,3.683,2.760,2.677,3.209,3.212,2.890,2.253
